Sample in Buffer,Sample in Window,TRIGGER,VISION_i/system_ila_0/inst/probe0_1[2:0],VISION_i/system_ila_0/inst/probe1_1,VISION_i/system_ila_0/inst/probe2_1,VISION_i/system_ila_0/inst/probe3_1,VISION_i/system_ila_0/inst/probe4_1,VISION_i/system_ila_0/inst/probe5_1,VISION_i/system_ila_0/inst/probe6_1,VISION_i/system_ila_0/inst/probe7_1,VISION_i/system_ila_0/inst/probe8_1[10:0],VISION_i/system_ila_0/inst/SLOT_0_BRAM_en_1,VISION_i/system_ila_0/inst/SLOT_0_BRAM_rst_1,VISION_i/system_ila_0/inst/SLOT_0_BRAM_dout_1[31:0],VISION_i/system_ila_0/inst/SLOT_0_BRAM_addr_1[31:0]
262,262,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
263,263,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
264,264,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
265,265,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
266,266,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
267,267,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
268,268,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
269,269,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
270,270,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
271,271,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
272,272,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
273,273,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
274,274,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
275,275,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
276,276,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
277,277,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
278,278,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
279,279,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
280,280,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
281,281,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
282,282,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
283,283,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
284,284,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
285,285,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
286,286,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
287,287,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
288,288,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
289,289,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
290,290,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
